time,current,speed
0.769,7.7913,27.348
0.77,7.7955,27.395
0.771,7.7997,27.442
0.772,7.8039,27.489
0.773,7.808,27.536
0.774,7.8122,27.583
0.775,7.8164,27.63
0.776,7.8205,27.677
0.777,7.8246,27.724
0.778,7.8288,27.771
0.779,7.8329,27.818
0.78,7.837,27.865
0.781,7.8411,27.912
0.782,7.8452,27.959
0.783,7.8493,28.006
0.784,7.8534,28.053
0.785,7.8574,28.1
0.786,7.8615,28.147
0.787,7.8655,28.194
0.788,7.8696,28.241
0.789,7.8736,28.288
0.79,7.8777,28.334
0.791,7.8817,28.381
0.792,7.8857,28.428
0.793,7.8897,28.475
0.794,7.8937,28.522
0.795,7.8977,28.569
0.796,7.9016,28.616
0.797,7.9056,28.662
0.798,7.9096,28.709
0.799,7.9135,28.756
0.8,7.9175,28.803
0.801,7.9214,28.85
0.802,7.9254,28.896
0.803,7.9293,28.943
0.804,7.9332,28.99
0.805,7.9371,29.037
0.806,7.941,29.083
0.807,7.9449,29.13
0.808,7.9488,29.177
0.809,7.9526,29.224
0.81,7.9565,29.27
0.811,7.9604,29.317
0.812,7.9642,29.364
0.813,7.9681,29.41
0.814,7.9719,29.457
0.815,7.9757,29.504
0.816,7.9795,29.55
0.817,7.9834,29.597
0.818,7.9872,29.644
0.819,7.991,29.69
0.82,7.9947,29.737
0.821,7.9985,29.783
0.822,8.0023,29.83
0.823,8.0061,29.877
0.824,8.0098,29.923
0.825,8.0136,29.97
0.826,8.0173,30.016
0.827,8.021,30.063
0.828,8.0248,30.109
0.829,8.0285,30.156
0.83,8.0322,30.202
0.831,8.0359,30.249
0.832,8.0396,30.295
0.833,8.0433,30.342
0.834,8.047,30.388
0.835,8.0506,30.435
0.836,8.0543,30.481
0.837,8.058,30.528
0.838,8.0616,30.574
0.839,8.0653,30.62
0.84,8.0689,30.667
0.841,8.0725,30.713
0.842,8.0762,30.759
0.843,8.0798,30.806
0.844,8.0834,30.852
0.845,8.087,30.899
0.846,8.0906,30.945
0.847,8.0942,30.991
0.848,8.0977,31.037
0.849,8.1013,31.084
0.85,8.1049,31.13
0.851,8.1084,31.176
0.852,8.112,31.222
0.853,8.1155,31.269
0.854,8.119,31.315
0.855,8.1226,31.361
0.856,8.1261,31.407
0.857,8.1296,31.453
0.858,8.1331,31.5
0.859,8.1366,31.546
0.86,8.1401,31.592
0.861,8.1436,31.638
0.862,8.1471,31.684
0.863,8.1505,31.73
0.864,8.154,31.776
0.865,8.1574,31.822
0.866,8.1609,31.869
0.867,8.1643,31.915
0.868,8.1678,31.961
0.869,8.1712,32.007
0.87,8.1746,32.053
0.871,8.178,32.099
0.872,8.1814,32.145
0.873,8.1848,32.191
0.874,8.1882,32.237
0.875,8.1916,32.282
0.876,8.195,32.328
0.877,8.1984,32.374
0.878,8.2017,32.42
0.879,8.2051,32.466
0.88,8.2084,32.512
0.881,8.2118,32.558
0.882,8.2151,32.604
0.883,8.2184,32.649
0.884,8.2218,32.695
0.885,8.2251,32.741
0.886,8.2284,32.787
0.887,8.2317,32.833
0.888,8.235,32.878
0.889,8.2383,32.924
0.89,8.2416,32.97
0.891,8.2448,33.016
0.892,8.2481,33.061
0.893,8.2514,33.107
0.894,8.2546,33.153
0.895,8.2579,33.198
0.896,8.2611,33.244
0.897,8.2644,33.29
0.898,8.2676,33.335
0.899,8.2708,33.381
0.9,8.274,33.426
0.901,8.2772,33.472
0.902,8.2804,33.518
0.903,8.2836,33.563
0.904,8.2868,33.609
0.905,8.29,33.654
0.906,8.2932,33.7
0.907,8.2964,33.745
0.908,8.2995,33.791
0.909,8.3027,33.836
0.91,8.3058,33.881
0.911,8.309,33.927
0.912,8.3121,33.972
0.913,8.3152,34.018
0.914,8.3184,34.063
0.915,8.3215,34.108
0.916,8.3246,34.154
0.917,8.3277,34.199
0.918,8.3308,34.244
0.919,8.3339,34.29
0.92,8.337,34.335
0.921,8.3401,34.38
0.922,8.3431,34.425
0.923,8.3462,34.471
0.924,8.3493,34.516
0.925,8.3523,34.561
0.926,8.3554,34.606
0.927,8.3584,34.651
0.928,8.3615,34.697
0.929,8.3645,34.742
0.93,8.3675,34.787
0.931,8.3705,34.832
0.932,8.3736,34.877
0.933,8.3766,34.922
0.934,8.3796,34.967
0.935,8.3826,35.012
0.936,8.3855,35.057
0.937,8.3885,35.102
0.938,8.3915,35.147
0.939,8.3945,35.192
0.94,8.3974,35.237
0.941,8.4004,35.282
0.942,8.4033,35.327
0.943,8.4063,35.372
0.944,8.4092,35.417
0.945,8.4122,35.462
0.946,8.4151,35.506
0.947,8.418,35.551
0.948,8.4209,35.596
0.949,8.4238,35.641
0.95,8.4267,35.686
0.951,8.4296,35.73
0.952,8.4325,35.775
0.953,8.4354,35.82
0.954,8.4383,35.865
0.955,8.4412,35.909
0.956,8.444,35.954
0.957,8.4469,35.999
0.958,8.4497,36.043
0.959,8.4526,36.088
0.96,8.4554,36.133
0.961,8.4583,36.177
0.962,8.4611,36.222
0.963,8.4639,36.266
0.964,8.4668,36.311
0.965,8.4696,36.355
0.966,8.4724,36.4
0.967,8.4752,36.444
0.968,8.478,36.489
0.969,8.4808,36.533
0.97,8.4836,36.578
0.971,8.4863,36.622
0.972,8.4891,36.667
0.973,8.4919,36.711
0.974,8.4947,36.755
0.975,8.4974,36.8
0.976,8.5002,36.844
0.977,8.5029,36.888
0.978,8.5057,36.933
0.979,8.5084,36.977
0.98,8.5111,37.021
0.981,8.5138,37.065
0.982,8.5166,37.11
0.983,8.5193,37.154
0.984,8.522,37.198
0.985,8.5247,37.242
0.986,8.5274,37.286
0.987,8.5301,37.33
0.988,8.5328,37.374
0.989,8.5354,37.419
0.99,8.5381,37.463
0.991,8.5408,37.507
0.992,8.5434,37.551
0.993,8.5461,37.595
0.994,8.5488,37.639
0.995,8.5514,37.683
0.996,8.554,37.727
0.997,8.5567,37.771
0.998,8.5593,37.815
0.999,8.5619,37.858
1,8.5646,37.902
1.001,8.5672,37.946
1.002,8.5698,37.99
1.003,8.5724,38.034
1.004,8.575,38.078
1.005,8.5776,38.121
1.006,8.5802,38.165
1.007,8.5828,38.209
1.008,8.5853,38.253
1.009,8.5879,38.296
1.01,8.5905,38.34
1.011,8.593,38.384
1.012,8.5956,38.427
1.013,8.5981,38.471
1.014,8.6007,38.515
1.015,8.6032,38.558
1.016,8.6058,38.602
1.017,8.6083,38.645
1.018,8.6108,38.689
1.019,8.6133,38.732
1.02,8.6158,38.776
1.021,8.6184,38.819
1.022,8.6209,38.863
1.023,8.6234,38.906
1.024,8.6259,38.95
1.025,8.6283,38.993
1.026,8.6308,39.037
1.027,8.6333,39.08
1.028,8.6358,39.123
1.029,8.6383,39.167
1.03,8.6407,39.21
1.031,8.6432,39.253
1.032,8.6456,39.296
1.033,8.6481,39.34
1.034,8.6505,39.383
1.035,8.653,39.426
1.036,8.6554,39.469
1.037,8.6578,39.512
1.038,8.6602,39.556
1.039,8.6627,39.599
1.04,8.6651,39.642
1.041,8.6675,39.685
1.042,8.6699,39.728
1.043,8.6723,39.771
1.044,8.6747,39.814
1.045,8.6771,39.857
1.046,8.6795,39.9
1.047,8.6818,39.943
1.048,8.6842,39.986
1.049,8.6866,40.029
1.05,8.6889,40.072
1.051,8.6913,40.115
1.052,8.6937,40.157
1.053,8.696,40.2
1.054,8.6983,40.243
